path,currently_tracked,seen_in_git_history,assigned_stage,assignment_reason
.gitignore,True,True,UNASSIGNED_SHARED_OR_MISC,no_safe_stage_inference
README.md,True,True,UNASSIGNED_SHARED_OR_MISC,no_safe_stage_inference
config/controller.yaml,True,True,UNASSIGNED_SHARED_OR_MISC,no_safe_stage_inference
config/experiment.yaml,True,True,UNASSIGNED_SHARED_OR_MISC,no_safe_stage_inference
config/plant.yaml,True,True,UNASSIGNED_SHARED_OR_MISC,no_safe_stage_inference
config/qlstm.yaml,True,True,UNASSIGNED_SHARED_OR_MISC,no_safe_stage_inference
data/audits/cell134_candidate_family_splits.csv.gz,True,True,06_preprocessing.ipynb,preprocessing_semantics
data/audits/cell134_family_structure.csv,True,True,UNASSIGNED_SHARED_OR_MISC,no_safe_stage_inference
data/audits/cell134_split_feasibility_metadata.json,True,True,UNASSIGNED_SHARED_OR_MISC,no_safe_stage_inference
data/audits/cell134_split_strategy_audit.csv,True,True,UNASSIGNED_SHARED_OR_MISC,no_safe_stage_inference
data/audits/cell140_dynamic_amplitude_by_temporal_region.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell140_temporal_distribution.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell140_temporal_information_audit.json,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell140_validation_family_prediction_bias.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell140_validation_performance_by_temporal_region.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell141_frozen_lstm_ablation_by_family.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell141_frozen_lstm_ablation_by_temporal_region.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell141_frozen_lstm_ablation_metadata.json,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell141_frozen_lstm_ablation_metrics.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell141_prediction_sensitivity.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell143_multiseed_paired_comparison.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell143_multiseed_stability_summary.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell143_multiseed_validation_metadata.json,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell143_multiseed_validation_results.csv,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell144_qlstm_environment_readiness.json,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell145_pennylane_environment.json,True,True,07_train_lstm.ipynb,cell_number_provenance
data/audits/cell146_qlstm_runtime_benchmark.csv,True,True,08_train_qlstm.ipynb,cell_number_provenance
data/audits/cell146_qlstm_runtime_benchmark.json,True,True,08_train_qlstm.ipynb,cell_number_provenance
data/audits/cell149_test_family_audit.csv,True,True,08_train_qlstm.ipynb,cell_number_provenance
data/audits/cell150_final_model_stage_audit.csv,True,True,08_train_qlstm.ipynb,cell_number_provenance
data/audits/cell150_qlstm_test_regime_confusion.csv,True,True,08_train_qlstm.ipynb,cell_number_provenance
data/audits/cell150_scientific_claim_freeze.csv,True,True,08_train_qlstm.ipynb,cell_number_provenance
data/closed_loop/cell151_frozen_scheduler_policy.json,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell151_scheduler_smoke_audit.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell152_metric_definitions.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell152_pre_simulation_policy.json,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell152_predefined_run_matrix.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell152_predefined_scenario_matrix.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell153_fixed_pi_structural_smoke.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell153_physical_scenario_resolution.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell153_pi_output_bias_contract.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell153_simulator_readiness.json,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell154_adaptive_simulator_contract.json,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell154_constant_gain_equivalence.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell154_scripted_gain_update_smoke.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell155_all_adaptive_gain_updates.csv.gz,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell155_all_closed_loop_trajectories.csv.gz,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell155_closed_loop_metrics.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell155_comparative_experiment_metadata.json,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell155_primary_family_summary.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell155_primary_family_winners.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell155_scheduler_diagnostics.csv,True,True,09_closed_loop.ipynb,cell_number_provenance
data/closed_loop/cell156_computational_burden_audit.csv,True,True,10_final_analysis.ipynb,cell_number_provenance
data/closed_loop/cell156_model_control_link_audit.csv,True,True,10_final_analysis.ipynb,cell_number_provenance
data/closed_loop/cell156_peak_rocof_timing_audit.csv,True,True,10_final_analysis.ipynb,cell_number_provenance
data/closed_loop/cell156_primary_family_effect_audit.csv,True,True,10_final_analysis.ipynb,cell_number_provenance
data/closed_loop/cell156_scheduler_control_effort_audit.csv,True,True,10_final_analysis.ipynb,cell_number_provenance
data/closed_loop/cell156_scientific_claim_freeze.csv,True,True,10_final_analysis.ipynb,cell_number_provenance
